Canonical_SMILES,starter_mod,firstExtension_module,secondExtension_mod,release_mod,Molecular_Weight
CCC=C(O)[C@@H]1OC(=O)[C@@H]1C,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=1)",156.18
CCC=C(O)[C@@H]1OC(=O)[C@@H]1CC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=1)",170.21
CCC=C(O)[C@@H]1OC(=O)[C@H]1C(C)C,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'isobutmal'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=1)",184.23
CCC=C(O)[C@H]1OC(=O)[C@@H]1CCCCCC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=1)",226.32
CCC=C(O)C(=O)[C@@H](CCCCCC)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", ""KR{'type': 'C1'}"", 'loading: False']",TE(linear),242.31
CCC=C(O)C(=O)[C@@H](CCCC)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'butmal'}"", ""KR{'type': 'C1'}"", 'loading: False']",TE(linear),214.26
CCC=C1OC(=O)[C@H](O)C1=O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", ""KR{'type': 'C1'}"", 'loading: False']","TE(cyclic, ring=1)",156.14
CCC=C(O)[C@@H]1CC(=O)O1,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Malonyl-CoA'}"", ""KR{'type': 'B'}"", 'loading: False']","TE(cyclic, ring=1)",142.15
CCC=C(O)C=C(CCCC)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'butmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']",TE(linear),198.26
CCC=C(O)C(=O)[C@H](CC)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", 'loading: False']",TE(linear),186.21
C=CC[C@H]1C(=O)O[C@@H]1C(O)=CCC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=1)",182.22
CCC=C(O)[C@H]1OC(=O)[C@H]1CCCCCC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=1)",226.32
CCC=C(O)[C@H]1OC(=O)[C@H]1CCCC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'butmal'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=1)",198.26
CCC=C(O)C(=O)[C@H](CCCCCC)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", 'loading: False']",TE(linear),242.31
CCC=C(O)CCC(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Malonyl-CoA'}"", ""KR{'type': 'B'}"", 'DH{}', 'ER{}', 'loading: False']",TE(linear),144.17
CCC=C(O)C(=O)[C@H](C(=O)O)C(C)C,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'isobutmal'}"", 'loading: False']",TE(linear),200.23
CCC=C(O)C(=O)[C@H](C)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'C2'}"", 'loading: False']",TE(linear),172.18
CCC=C(O)[C@H]1OC(=O)[C@@H]1OC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'mxmal'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=1)",172.18
CCC=C(O)C(=O)[C@@H](C(=O)O)C(C)C,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'D-isobutmal'}"", 'loading: False']",TE(linear),200.23
C=CC[C@@H]1C(=O)O[C@@H]1C(O)=CCC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=1)",182.22
CCC=C1C[C@H](OC)C(=O)O1,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'mxmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']","TE(cyclic, ring=1)",156.18
CCC=C(O)C=C(C)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']",TE(linear),156.18
CCC=C(O)[C@H]1OC(=O)[C@H]1C(C)C,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'isobutmal'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=1)",184.23
CCC=C(O)[C@@H]1OC(=O)[C@@H]1O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=1)",158.15
CCC=C(O)[C@H]1CC(=O)O1,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Malonyl-CoA'}"", ""KR{'type': 'A'}"", 'loading: False']","TE(cyclic, ring=1)",142.15
CCC=C(O)[C@@H]1OC(=O)[C@@H]1CCCC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'butmal'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=1)",198.26
CCC=C(O)[C@@H]1OC(=O)[C@H]1OC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'mxmal'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=1)",172.18
CCC=C(O)C=C(O)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']",TE(linear),158.15
C=CC[C@@H](CC(O)=CCC)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']",TE(linear),184.23
CCC=C(O)C=C(C(=O)O)C(C)C,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'isobutmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']",TE(linear),184.23
CCC=C(O)[C@H]1OC(=O)[C@@H]1C,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=1)",156.18
CCC=C(O)C=C(OC)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'mxmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']",TE(linear),172.18
CCC=C(O)C[C@H](C)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']",TE(linear),158.2
CCC=C(O)[C@@H]1OC(=O)[C@@H]1C(C)C,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'isobutmal'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=1)",184.23
CCC=C1OC(=O)[C@H](OC)C1=O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'mxmal'}"", ""KR{'type': 'C1'}"", 'loading: False']","TE(cyclic, ring=1)",170.16
CCC=C(O)C[C@H](CCCCCC)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']",TE(linear),228.33
CCC=C(O)C(=O)[C@H](CCCC)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'butmal'}"", ""KR{'type': 'C2'}"", 'loading: False']",TE(linear),214.26
C=CC[C@H]1C(=O)O[C@H]1C(O)=CCC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=1)",182.22
CCC=C(O)[C@H]1OC(=O)[C@@H]1CCCC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'butmal'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=1)",198.26
CCC=C(O)[C@H]1OC(=O)[C@H]1OC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'mxmal'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=1)",172.18
CCC=C(O)C(=O)[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", ""KR{'type': 'C2'}"", 'loading: False']",TE(linear),348.23
CCC=C(O)C(=O)C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", 'loading: False']",TE(linear),348.23
CCC=C(O)[C@H]1OC(=O)[C@@H]1CCCCc1c[nH]c(Cl)c1Cl,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=1)",332.23
CCC=C(O)[C@H]1OC(=O)[C@@H]1C(C)C,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'isobutmal'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=1)",184.23
CCC=C(O)[C@@H]1OC(=O)[C@H]1C,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=1)",156.18
CCC=C(O)[C@@H]1OC(=O)[C@H]1CC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=1)",170.21
CCC=C(O)[C@@H]1OC(=O)[C@@H]1CCCCCC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=1)",226.32
CCC=C(O)[C@H]1OC(=O)[C@@H]1CC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=1)",170.21
CCC=C(O)[C@H]1OC(=O)[C@H]1CCCCc1c[nH]c(Cl)c1Cl,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=1)",332.23
C=CC[C@H](C(=O)O)C(=O)C(O)=CCC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", 'loading: False']",TE(linear),198.22
CCC=C1OC(=O)[C@@H](OC)C1=O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'mxmal'}"", 'loading: False']","TE(cyclic, ring=1)",170.16
CCC=C1OC(=O)[C@@H](O)C1=O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", ""KR{'type': 'C2'}"", 'loading: False']","TE(cyclic, ring=1)",156.14
CCC=C(O)C(=O)[C@@H](C)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'C1'}"", 'loading: False']",TE(linear),172.18
CCC=C(O)[C@@H]1OC(=O)[C@H]1CCCCc1c[nH]c(Cl)c1Cl,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=1)",332.23
CCC=C(O)[C@H]1OC(=O)[C@@H]1O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=1)",158.15
CCC=C1OC(=O)C(O)C1=O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", 'loading: False']","TE(cyclic, ring=1)",156.14
CCC=C(O)[C@@H]1OC(=O)[C@@H]1OC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'mxmal'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=1)",172.18
CCC=C(O)C=C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']",TE(linear),332.23
CCC=C(O)C(=O)CC(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: False']",TE(linear),158.15
CCC=C(O)C=CC(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Malonyl-CoA'}"", ""KR{'type': 'B'}"", 'DH{}', 'loading: False']",TE(linear),142.15
C=CC[C@@H]1C(=O)O[C@H]1C(O)=CCC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=1)",182.22
CCC=C(O)[C@H]1OC(=O)[C@H]1C,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=1)",156.18
CCC=C(O)[C@H]1OC(=O)[C@H]1CC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=1)",170.21
CCC=C(O)[C@H]1OC(=O)[C@H]1O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=1)",158.15
CCC=C(O)C(=O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", ""KR{'type': 'C1'}"", 'loading: False']",TE(linear),348.23
CCC=C(O)[C@@H]1OC(=O)[C@@H]1CCCCc1c[nH]c(Cl)c1Cl,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=1)",332.23
CCC=C(O)C[C@H](CC)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']",TE(linear),172.22
CCC=C(O)C[C@@H](C(=O)O)C(C)C,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'D-isobutmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']",TE(linear),186.25
CCC=C(O)C[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']",TE(linear),334.24
CCC=C(O)[C@@H]1OC(=O)[C@H]1O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=1)",158.15
C=CC[C@@H](C(=O)O)C(=O)C(O)=CCC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", ""KR{'type': 'C1'}"", 'loading: False']",TE(linear),198.22
CCC=C(O)[C@@H]1OC(=O)[C@H]1CCCC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'butmal'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=1)",198.26
CCC=C(O)[C@@H]1OC(=O)[C@H]1CCCCCC,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=1)",226.32
CCC=C1C[C@H](O)C(=O)O1,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']","TE(cyclic, ring=1)",142.15
CCC=C(O)C=C(CC)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']",TE(linear),170.21
CCC=C(O)C[C@H](CCCC)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'butmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']",TE(linear),200.28
C=CCC(=CC(O)=CCC)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']",TE(linear),182.22
CCC=C(O)C(=O)[C@@H](CC)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", ""KR{'type': 'C1'}"", 'loading: False']",TE(linear),186.21
CCC=C(O)C=C(CCCCCC)C(=O)O,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']",TE(linear),226.32
CC=C(O)[C@@H]1OC(=O)[C@@H]1C,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=1)",142.15
CC=C(O)[C@@H]1OC(=O)[C@@H]1CC,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=1)",156.18
CC=C(O)[C@@H]1OC(=O)[C@H]1C(C)C,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'isobutmal'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=1)",170.21
CC=C(O)[C@H]1OC(=O)[C@@H]1CCCCCC,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=1)",212.29
CC=C(O)C(=O)[C@@H](CCCCCC)C(=O)O,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", ""KR{'type': 'C1'}"", 'loading: False']",TE(linear),228.29
CC=C(O)C(=O)[C@@H](CCCC)C(=O)O,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'butmal'}"", ""KR{'type': 'C1'}"", 'loading: False']",TE(linear),200.23
CC=C1OC(=O)[C@H](O)C1=O,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", ""KR{'type': 'C1'}"", 'loading: False']","TE(cyclic, ring=1)",142.11
CC=C(O)[C@@H]1CC(=O)O1,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Malonyl-CoA'}"", ""KR{'type': 'B'}"", 'loading: False']","TE(cyclic, ring=1)",128.13
CC=C(O)C=C(CCCC)C(=O)O,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'butmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']",TE(linear),184.23
CC=C(O)C(=O)[C@H](CC)C(=O)O,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", 'loading: False']",TE(linear),172.18
C=CC[C@H]1C(=O)O[C@@H]1C(O)=CC,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=1)",168.19
CC=C(O)[C@H]1OC(=O)[C@H]1CCCCCC,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=1)",212.29
CC=C(O)[C@H]1OC(=O)[C@H]1CCCC,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'butmal'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=1)",184.23
CC=C(O)C(=O)[C@H](CCCCCC)C(=O)O,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", 'loading: False']",TE(linear),228.29
CC=C(O)CCC(=O)O,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Malonyl-CoA'}"", ""KR{'type': 'B'}"", 'DH{}', 'ER{}', 'loading: False']",TE(linear),130.14
CC=C(O)C(=O)[C@H](C(=O)O)C(C)C,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'isobutmal'}"", 'loading: False']",TE(linear),186.21
CC=C(O)C(=O)[C@H](C)C(=O)O,"[""AT{'substrate': 'Malonyl-CoA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'C2'}"", 'loading: False']",TE(linear),158.15
